timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
826972000,826972000,1310988,0.0015978967,-0.006924219,-0.0031957934,13.196716,0,1
827972000,827972000,1310988,0.0,0.0037284256,0.0058589545,13.196655,0,1
828972000,828972000,1310988,-0.0005326322,0.0015978967,0.0010652645,13.196472,0,1
829972000,829972000,1310988,0.0058589545,0.0015978967,0.0053263223,13.19635,0,1
830972000,830972000,1310988,0.0031957934,-0.004261058,0.002130529,13.196259,0,1
831972000,831972000,1310988,0.0005326322,0.0015978967,0.0015978967,13.1961975,0,1
832972000,832972000,1310988,0.0053263223,-0.0026631611,0.002130529,13.196075,0,1
833972000,833972000,1310988,0.0031957934,0.0031957934,0.0026631611,13.196106,0,1
834972000,834972000,1310988,0.002130529,-0.002130529,0.0058589545,13.195953,0,1
835972000,835972000,1310988,0.0031957934,-0.0026631611,0.002130529,13.195984,0,1
836972000,836972000,1310988,-0.00479369,0.0026631611,0.0010652645,13.196014,0,1
837972000,837972000,1310988,-0.0005326322,0.004261058,-0.0031957934,13.195953,0,1
838972000,838972000,1310988,-0.002130529,0.004261058,0.002130529,13.196075,0,1
839972000,839972000,1310988,-0.0015978967,0.0053263223,0.0037284256,13.19632,0,1
840972000,840972000,1310988,-0.0015978967,-0.0026631611,0.0063915867,13.196381,0,1
841972000,841972000,1310988,0.00479369,-0.0037284256,0.0058589545,13.196411,0,1
842972000,842972000,1310988,0.0031957934,0.0,0.0026631611,13.196472,0,1
843972000,843972000,1310988,-0.004261058,0.015978966,0.0015978967,13.196594,0,1
844972000,844972000,1310988,0.0031957934,-0.0005326322,-0.0005326322,13.196381,0,1
845972000,845972000,1310988,0.0005326322,-0.0031957934,-0.0031957934,13.196259,0,1
846972000,846972000,1310988,0.0058589545,-0.0005326322,-0.004261058,13.196228,0,1
847972000,847972000,1310988,0.002130529,0.0037284256,-0.0005326322,13.196167,0,1
848972000,848972000,1310988,-0.002130529,0.002130529,0.00479369,13.196045,0,1
849972000,849972000,1310988,0.0026631611,-0.0010652645,0.0015978967,13.195953,0,1
850972000,850972000,1310988,0.0005326322,-0.00958738,0.006924219,13.195984,0,1
851972000,851972000,1310988,0.0015978967,-0.0015978967,-0.0031957934,13.195984,0,1
852972000,852972000,1310988,0.004261058,-0.0063915867,0.0015978967,13.195831,0,1
853972000,853972000,1310988,0.0053263223,0.002130529,0.0026631611,13.19574,0,1
854972000,854972000,1310988,0.010120012,0.0010652645,0.006924219,13.195679,0,1
855972000,855972000,1310988,0.0005326322,0.0005326322,0.002130529,13.195343,0,1
856972000,856972000,1310988,-0.0026631611,0.0010652645,-0.0053263223,13.195068,0,1
857972000,857972000,1310988,0.0005326322,0.0005326322,-0.0026631611,13.194946,0,1
858972000,858972000,1310988,0.0063915867,-0.0005326322,-0.0015978967,13.194794,0,1
859972000,859972000,1310988,0.0015978967,0.0010652645,0.0026631611,13.194672,0,1
