timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
22000000,22000000,804000,36.3215774,127.4117224,-3.09E-05,-0.008168341,0.085327834,0.00039837,6.51E-05,0,0.004376009,-0.014475871,0.041304052,0.021449916,-0.001178325,-0.008305827,-0.011701867,0.053953506,-0.001175271,0.008921138,1.5544236,0.000198782,28.71612,0.1,0.46611437,0.47435766,0.19295824,0.12170784,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
22500000,22500000,804000,36.3215774,127.4117224,-0.002138239,-0.012785932,0.09037819,0.00039837,6.51E-05,0,0.000342665,-0.01913385,0.042443573,0.017584214,-0.001178325,-0.008305827,-0.011701867,-0.03878778,0.022601197,0.007261522,1.5547807,0.000198782,28.71612,0.1,0.4816319,0.48164266,0.19924374,0.1236288,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
23000000,23000000,804000,36.3215774,127.4117224,-0.004720981,-0.014504868,0.091715865,0.00039837,6.51E-05,0,-0.008583901,-0.02078449,0.04493394,0.015173756,-0.001178325,-0.008305827,-0.011701867,-0.02724124,-0.027765183,-0.009843147,1.5549238,0.000198782,28.71612,0.1,0.49752808,0.4843956,0.20503317,0.12498209,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
23500000,23500000,804000,36.3215774,127.4117224,-0.008538366,-0.012605612,0.08993863,0.00039837,6.51E-05,0,-0.011852355,-0.019707847,0.04743016,0.010101685,-0.001178325,-0.008305827,-0.011701867,-0.056956623,-0.027477207,0.016481614,1.5547115,0.000198782,28.71612,0.1,0.46482593,0.47830248,0.18600573,0.12176985,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
24000000,24000000,804000,36.3215774,127.4117224,-0.008398795,-0.01191797,0.084031254,0.00039837,6.51E-05,0,-0.014958542,-0.022141559,0.052386057,0.007014396,-0.001178325,-0.008305827,-0.011701867,0.07240654,-0.048362736,-0.041825693,1.5549073,0.000198782,28.71612,0.1,0.47806567,0.4764967,0.19096945,0.12261248,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
24500000,24500000,804000,36.3215774,127.4117224,-0.014035492,-0.011804604,0.08955401,0.00039837,6.51E-05,0,-0.02369286,-0.021644874,0.061050627,0.017977046,-0.001178325,-0.008305827,-0.011701867,0.0092286,-0.067077965,0.03567524,1.555016,0.000198782,28.71612,0.1,0.49161628,0.4790363,0.19584113,0.12395177,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
25000000,25000000,804000,36.3215774,127.4117224,-0.017171819,-0.016368974,0.094005935,0.00039837,6.51E-05,0,-0.028128618,-0.02242437,0.0671369,0.020137418,-0.001178325,-0.008305827,-0.011701867,0.000893675,0.10400512,0.047444362,1.5553488,0.000198782,28.71612,0.1,0.50547254,0.4816403,0.20066771,0.12528294,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
25500000,25500000,804000,36.3215774,127.4117224,-0.012963197,-0.017494123,0.09727867,0.00039837,6.51E-05,0,-0.025287777,-0.023953544,0.069358334,0.017894272,-0.001178325,-0.008305827,-0.011701867,0.018956741,-0.050694473,0.051283274,1.5550735,0.000198782,28.71612,0.1,0.47011772,0.47568652,0.18225482,0.1220315,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
26000000,26000000,804000,36.3215774,127.4117224,-0.011133803,-0.016659377,0.10451384,0.00039837,6.51E-05,0,-0.025358073,-0.02287462,0.07819231,0.023919597,-0.001178325,-0.008305827,-0.011701867,0.027695619,0.009217117,-0.031060537,1.5548596,0.000198782,28.71612,0.1,0.4820872,0.47827706,0.1869785,0.12337336,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
26500000,26500000,804000,36.3215774,127.4117224,-0.008585054,-0.01718955,0.11246068,0.00039837,6.51E-05,0,-0.017594893,-0.02212266,0.081588216,0.024503741,-0.001178325,-0.008305827,-0.011701867,0.024023553,0.028231744,-0.010431743,1.5546288,0.000198782,28.71612,0.1,0.4944535,0.4811995,0.19180268,0.12475859,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
